file_id,label,mean_centroid,mean_bandwidth,mean_rolloff,mean_zcr,mean_rms,mean_pitch_f0
vs_0045,REAL,1611.6164012416368,1907.0268033988568,1187.373991935484,0.11830322444438934,0.08097556978464127,235.43585205078125
vs_0046,REAL,610.0728100368133,660.8273745267963,550.5292338709677,0.04825308173894882,0.02936527505517006,258.4845275878906
vs_0052,FAKE,1629.7660659091325,1896.904302957548,1260.0806451612902,0.12766847014427185,0.08262035250663757,247.17250061035156
vs_0003,REAL,2254.5690852562375,2460.3554661924945,357.98891129032256,0.1053038164973259,0.09179700165987015,148.19345092773438
vs_0007,REAL,1623.69289491713,1900.761744415506,1271.6733870967741,0.12665942311286926,0.08146669715642929,240.4451904296875
vs_0008,REAL,614.2016995737581,660.1846280943465,550.6552419354839,0.051043737679719925,0.02943175472319126,278.3003234863281
vs_0009,REAL,1626.7920362318528,1905.9204465120135,1263.9868951612902,0.12703780829906464,0.08148295432329178,241.7995147705078
vs_0010,REAL,611.6886099761656,661.5448464801077,553.1754032258065,0.05029483139514923,0.02943585440516472,278.72314453125
vs_0011,REAL,1627.7864360955073,1903.8070241017438,1275.453629032258,0.12737677991390228,0.0814489871263504,236.9233856201172
vs_0012,REAL,608.2583607177921,658.4379771485037,546.1189516129032,0.05082300305366516,0.02944427914917469,278.72314453125
vs_0013,REAL,1633.4982979373528,1905.8099355497138,1273.311491935484,0.12710875272750854,0.08147456496953964,239.6160888671875
vs_0014,REAL,611.640493642941,658.8213043937895,554.3094758064516,0.049348846077919006,0.02943417802453041,269.99078369140625
vs_0015,REAL,1631.7635093740978,1903.0611676426458,1262.0967741935483,0.12815722823143005,0.08145798742771149,237.18357849121094
vs_0016,REAL,609.3385996511583,657.1679408420152,544.858870967742,0.04975089058279991,0.029432516545057297,278.3003234863281
vs_0017,REAL,1628.0788173546318,1907.6119342294623,1253.2762096774193,0.12680131196975708,0.08146800100803375,239.4759063720703
vs_0018,REAL,607.7393194251636,658.894976882514,548.6391129032259,0.04874972254037857,0.02943418174982071,278.72314453125
vs_0055,FAKE,2299.7662522414967,2422.687802543305,473.664314516129,0.1083388552069664,0.09180163592100143,200.00050354003906
vs_0004,REAL,2298.7353761040395,2436.9553255112583,453.37701612903226,0.10624980926513672,0.09180532395839691,188.1298065185547
